Thème;Type;Questions;A;B;C;D;Réponse
Acteurs ;Duo;Quel acteur césarisé apparaît dans le clip du titre Balance ton quoi?;Pierre Niney;Pierre Deladonchamps;;;Pierre Niney
Acteurs ;Duo;Quel poète français DiCaprio a-t-il incarné dans un film réalisé par Angnieska Holland sorti en 1995?;Rimbault ;Rimbaud;;;Rimbaud
Acteurs ;Duo;Quel télécrochet Virginie Efira a-t-elle animé de 2006 à 2008?;Star Ac;Nouvelle star;;;Nouvelle Star
Acteurs ;Carré;Dans quel film V.Efira incarne-t-elle une coach alcoolique qui pousse 7 hommes à donner le meilleur d'eux-mêmes?;Le Grand Bain ;Le Grand Bleu;La Maître-Nageur;Le Petit Bain ;Le Grand Bain 
Acteurs ;Carré;A quel président américain M.Monroe chante-t-elle Happy Birthday en 1962?;J.Fitzgerald Kennedy;Jimmy Carter;Lyndon Johnson;Ch. de Gaulle;Kennedy
Acteurs ;Carré;Dans quel pays d'europe Bruce Willis a-t-il passé les deux premières années de sa vie?;Allemagne;Les Pays Bas;Le Danemark;La Suisse;L'Allemagne
Acteurs ;Cash;Selon le titre d'un film avec Marilyn Monroe, quelles femmes les hommes préfèrent-ils?;;;;;Les blondes 
Acteurs ;Cash;Dans quel film la robe de Monroe se soulève-t-ellle à son passage sur une bouche de métro?;;;;;7 ans de reflexion
Acteurs ;Cash;Qui joue le role de Katniss Everdeen dans Hunger Games?;;;;;Jennifer.Lawrence
Acteurs ;Cash;Dans quel film tourné autour de l'oreille militaire François Civil a-t-il joué?;;;;;Le chant du loup
Acteurs ;Cash;Quel film a fait connaitre Julia Robert pour son role avec Richard Gere?;;;;;Pretty Woman
Acteurs ;Cash;Dans quelle saga Emma Watson a-t-elle joué petite?;;;;;Harry Potter
